order_id,cumsum_quantity,market_value,avg_price,profits,transaction_cost,datetime,position_id,position_side,pnl,order_book_id
-1.0,300.0,6891.0,22.97,69.00000000000001,0.0,2013-08-20 00:00:00,2,多,-453.5300799999985,000338.XSHE
-1.0,620.0,12444.0,20.070967741935483,62.0,0.0,2012-10-18 00:00:00,1,多,59.684,000338.XSHE
-1.0,120.0,3361.0,28.008333333333333,10.0,0.0,2012-08-17 00:00:00,1,多,5.0,000338.XSHE
-1.0,450.0,9645.0,21.433333333333334,360.0,0.0,2016-05-06 00:00:00,5,多,-19070.962099999997,000333.XSHE
-1.0,2400.0,11984.085714285715,4.993369047619048,120.0,0.0,2012-07-10 00:00:00,1,多,-289.47828571428664,600021.XSHG
-1.0,2900.0,11832.0,4.08,465.0,0.0,2013-07-17 00:00:00,3,多,-260.6054000000015,600021.XSHG
-1.0,300.0,12114.0,40.38,90.0,0.0,2013-05-20 00:00:00,3,多,1862.200599999997,601318.XSHG
-1.0,1900.0,7857.133333333334,4.1353333333333335,380.0,0.0,2014-07-30 00:00:00,4,多,4009.504933333331,600021.XSHG
-1.0,1900.0,24004.823529411762,12.634117647058822,475.0,0.0,2016-07-29 00:00:00,6,多,7692.42612941177,600021.XSHG
-1.0,780.0,3924.0,5.030769230769231,120.0,0.0,2014-06-19 00:00:00,2,多,-387.03660000000013,600023.XSHG
-1.0,2500.0,12915.000000000002,5.166,675.0,0.0,2016-06-23 00:00:00,6,多,-2790.886000000002,600023.XSHG
-1.0,3000.0,7651.384615384616,2.550461538461539,198.0,0.0,2014-08-06 00:00:00,5,多,-1718.7311846153868,601390.XSHG
-1.0,1900.0,5387.594925574735,2.8355762766182813,98.80000000000001,0.0,2013-08-05 00:00:00,3,多,914.420125574736,601390.XSHG
-1.0,1900.0,13851.0,7.29,380.0,0.0,2012-05-28 00:00:00,1,多,213.35239999999982,600028.XSHG
-1.0,1900.0,29317.180952380953,15.43009523809524,475.0,0.0,2016-07-15 00:00:00,5,多,-5303.37784761905,000063.XSHE
-1.0,400.0,3601.6040000000003,9.004010000000001,162.396,0.0,2013-07-18 00:00:00,3,多,107.46300000000016,601009.XSHG
-1.0,2300.0,14009.335722819593,6.091015531660693,1035.0,0.0,2016-07-07 00:00:00,9,多,5823.468522819601,601006.XSHG
-1.0,1900.0,25061.0,13.19,912.0,0.0,2015-06-19 00:00:00,7,多,7137.453600000004,601006.XSHG
-1.0,520.0,8700.0,16.73076923076923,20.0,0.0,2013-08-13 00:00:00,3,多,135.74879999999996,600372.XSHG
-1.0,900.0,6471.0,7.1899999999999995,180.0,0.0,2013-07-22 00:00:00,3,多,2501.868599999998,000157.XSHE
-1.0,1900.0,49039.0,25.81,342.0,0.0,2015-06-03 00:00:00,7,多,492.87900000000184,600369.XSHG
-1.0,1700.0,9951.999999999998,5.854117647058823,255.0,0.0,2014-08-08 00:00:00,3,多,2746.868599999998,000157.XSHE
-1.0,1100.0,15873.0,14.43,110.0,0.0,2016-08-12 00:00:00,5,多,4544.450200000002,600362.XSHG
-1.0,1900.0,27406.0,14.42421052631579,950.0,0.0,2014-07-31 00:00:00,3,多,-1631.0974000000033,600362.XSHG
-1.0,800.0,17912.0,22.39,400.0,0.0,2013-07-24 00:00:00,3,多,3714.069599999997,600362.XSHG
-1.0,180.0,1277.0,7.094444444444445,4.0,0.0,2012-05-22 00:00:00,2,多,-1819.7533999999982,600674.XSHG
-1.0,1100.0,10449.25,9.499318181818182,68.75,0.0,2013-06-04 00:00:00,4,多,2604.24,600674.XSHG
-1.0,1100.0,12605.999999999998,11.459999999999999,77.00000000000001,0.0,2014-07-10 00:00:00,6,多,5032.622400000006,600674.XSHG
-1.0,1900.0,15340.702702702705,8.074054054054056,513.0,0.0,2016-06-27 00:00:00,7,多,10857.425702702716,600674.XSHG
-1.0,100.0,2695.0,26.95,50.0,0.0,2012-07-10 00:00:00,2,多,2056.0463999999984,600362.XSHG
-1.0,2200.0,18494.142857142855,8.40642857142857,330.0,0.0,2016-06-08 00:00:00,7,多,23918.149857142835,600352.XSHG
-1.0,600.0,5746.0,9.576666666666666,60.0,0.0,2012-06-29 00:00:00,2,多,470.7700000000005,600682.XSHG
-1.0,500.0,9010.0,18.02,25.0,0.0,2016-07-18 00:00:00,7,多,4937.971840000001,600372.XSHG
-1.0,1900.0,16150.904761904761,8.50047619047619,190.0,0.0,2013-07-09 00:00:00,2,多,428.16076190476247,600682.XSHG
-1.0,500.0,13652.0,27.304,45.0,0.0,2016-07-11 00:00:00,6,多,28556.149400000013,600682.XSHG
-1.0,600.0,9642.0,16.07,162.0,0.0,2014-06-18 00:00:00,5,多,2820.573600000002,600352.XSHG
-1.0,100.0,1930.9999999999998,19.31,1.0,0.0,2014-06-27 00:00:00,3,多,-308.541399999998,600685.XSHG
-1.0,1950.0,5485.999999999999,2.813333333333333,65.0,0.0,2013-12-04 00:00:00,3,多,3488.8326000000015,600688.XSHG
-1.0,1400.0,4522.0,3.23,70.0,0.0,2014-07-18 00:00:00,4,多,3984.9046000000017,600688.XSHG
